Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
25	n5	combined	Drop	0	0	0	0
25	n6	combined	Drop	0	0	0	0
25	n7	combined	Drop	0	0	0	0
25	n8	combined	Drop	0	0	0	0
25	n9	combined	Drop	0	0	0	0
25	p1	combined	Drop	1281	1343	1284	1346.58
25	p2	combined	Drop	707	741	701	735.162
25	p3	combined	Drop	814	854	821	861.018
25	p4	combined	Drop	638	669	641	672.232
26	c1	combined	Drop	0	0	0	0
26	c2	combined	Drop	0	0	0	0
26	c3	combined	Drop	0	0	0	0
26	c4	combined	Drop	0	0	0	0
26	c5	combined	Drop	0	0	0	0
26	c6	combined	Drop	0	0	0	0
26	c7	combined	Drop	0	0	0	0
26	c8	combined	Drop	0	0	0	0
26	c9	combined	Drop	0	0	0	0
26	c10	combined	Drop	0	0	0	0
26	c11	combined	Drop	0	0	0	0
26	c12	combined	Drop	0	0	0	0
26	c13	combined	Drop	0	0	0	0
26	c14	combined	Drop	0	0	0	0
26	c15	combined	Drop	0	0	0	0
26	c16	combined	Drop	0	0	0	0
26	c17	combined	Drop	0	0	0	0
26	c18	combined	Drop	0	0	0	0
26	n1	combined	Drop	0	0	0	0
26	n2	combined	Drop	0	0	0	0
26	n3	combined	Drop	0	0	0	0
26	n4	combined	Drop	0	0	0	0
26	n5	combined	Drop	0	0	0	0
26	n6	combined	Drop	0	0	0	0
26	n7	combined	Drop	0	0	0	0
26	n8	combined	Drop	0	0	0	0
26	n9	combined	Drop	0	0	0	0
26	p1	combined	Drop	1238	1298	1228	1287.85
26	p2	combined	Drop	859	901	898	941.764
26	p3	combined	Drop	749	785	733	768.735
26	p4	combined	Drop	593	622	582	610.369
27	c1	combined	Drop	0	0	0	0
27	c2	combined	Drop	0	0	0	0
27	c3	combined	Drop	0	0	0	0
27	c4	combined	Drop	0	0	0	0
27	c5	combined	Drop	0	0	0	0
27	c6	combined	Drop	0	0	0	0
27	c7	combined	Drop	0	0	0	0
27	c8	combined	Drop	0	0	0	0
27	c9	combined	Drop	0	0	0	0
27	c10	combined	Drop	0	0	0	0
27	c11	combined	Drop	0	0	0	0
27	c12	combined	Drop	0	0	0	0
27	c13	combined	Drop	0	0	0	0
27	c14	combined	Drop	0	0	0	0
27	c15	combined	Drop	0	0	0	0
27	c16	combined	Drop	0	0	0	0
27	c17	combined	Drop	0	0	0	0
27	c18	combined	Drop	0	0	0	0
27	n1	combined	Drop	0	0	0	0
27	n2	combined	Drop	0	0	0	0
27	n3	combined	Drop	0	0	0	0
27	n4	combined	Drop	0	0	0	0
27	n5	combined	Drop	0	0	0	0
27	n6	combined	Drop	0	0	0	0
27	n7	combined	Drop	0	0	0	0
27	n8	combined	Drop	0	0	0	0
27	n9	combined	Drop	0	0	0	0
27	p1	combined	Drop	1112	1166	1081	1133.68
27	p2	combined	Drop	384	403	266	278.955
27	p3	combined	Drop	537	563	484	507.581
27	p4	combined	Drop	261	274	179	187.712
28	c1	combined	Drop	0	0	0	0
28	c2	combined	Drop	0	0	0	0
28	c3	combined	Drop	0	0	0	0
28	c4	combined	Drop	0	0	0	0
28	c5	combined	Drop	0	0	0	0
28	c6	combined	Drop	0	0	0	0
28	c7	combined	Drop	0	0	0	0
28	c8	combined	Drop	0	0	0	0
28	c9	combined	Drop	0	0	0	0
28	c10	combined	Drop	0	0	0	0
28	c11	combined	Drop	0	0	0	0
28	c12	combined	Drop	0	0	0	0
28	c13	combined	Drop	0	0	0	0
28	c14	combined	Drop	0	0	0	0
28	c15	combined	Drop	0	0	0	0
28	c16	combined	Drop	0	0	0	0
28	c17	combined	Drop	0	0	0	0
28	c18	combined	Drop	0	0	0	0
28	n1	combined	Drop	0	0	0	0
28	n2	combined	Drop	0	0	0	0
28	n3	combined	Drop	0	0	0	0
28	n4	combined	Drop	0	0	0	0
28	n5	combined	Drop	0	0	0	0
28	n6	combined	Drop	0	0	0	0
28	n7	combined	Drop	0	0	0	0
28	n8	combined	Drop	0	0	0	0
28	n9	combined	Drop	0	0	0	0
28	p1	combined	Drop	906	950	855	896.669
28	p2	combined	Drop	79	83	3	3.14551
28	p3	combined	Drop	115	120	10	10.4854
28	p4	combined	Drop	52	54	0	0
29	c1	combined	Drop	0	0	0	0
29	c2	combined	Drop	0	0	0	0
29	c3	combined	Drop	0	0	0	0
29	c4	combined	Drop	0	0	0	0
29	c5	combined	Drop	0	0	0	0
29	c6	combined	Drop	0	0	0	0
29	c7	combined	Drop	0	0	0	0
29	c8	combined	Drop	0	0	0	0
29	c9	combined	Drop	0	0	0	0
29	c10	combined	Drop	0	0	0	0
29	c11	combined	Drop	0	0	0	0
29	c12	combined	Drop	0	0	0	0
29	c13	combined	Drop	0	0	0	0
29	c14	combined	Drop	0	0	0	0
29	c15	combined	Drop	0	0	0	0
29	c16	combined	Drop	0	0	0	0
29	c17	combined	Drop	0	0	0	0
29	c18	combined	Drop	0	0	0	0
29	n1	combined	Drop	0	0	0	0
29	n2	combined	Drop	0	0	0	0
29	n3	combined	Drop	0	0	0	0
29	n4	combined	Drop	0	0	0	0
29	n5	combined	Drop	0	0	0	0
29	n6	combined	Drop	0	0	0	0
29	n7	combined	Drop	0	0	0	0
29	n8	combined	Drop	0	0	0	0
29	n9	combined	Drop	0	0	0	0
29	p1	combined	Drop	185	195	6	6.29102
29	p2	combined	Drop	15	16	0	0
29	p3	combined	Drop	22	23	0	0
29	p4	combined	Drop	10	10	0	0
30	c1	combined	Drop	0	0	0	0
30	c2	combined	Drop	0	0	0	0
30	c3	combined	Drop	0	0	0	0
30	c4	combined	Drop	0	0	0	0
30	c5	combined	Drop	0	0	0	0
30	c6	combined	Drop	0	0	0	0
30	c7	combined	Drop	0	0	0	0
30	c8	combined	Drop	0	0	0	0
30	c9	combined	Drop	0	0	0	0
30	c10	combined	Drop	0	0	0	0
30	c11	combined	Drop	0	0	0	0
30	c12	combined	Drop	0	0	0	0
30	c13	combined	Drop	0	0	0	0
30	c14	combined	Drop	0	0	0	0
30	c15	combined	Drop	0	0	0	0
30	c16	combined	Drop	0	0	0	0
30	c17	combined	Drop	0	0	0	0
30	c18	combined	Drop	0	0	0	0
30	n1	combined	Drop	0	0	0	0
30	n2	combined	Drop	0	0	0	0
30	n3	combined	Drop	0	0	0	0
30	n4	combined	Drop	0	0	0	0
30	n5	combined	Drop	0	0	0	0
30	n6	combined	Drop	0	0	0	0
30	n7	combined	Drop	0	0	0	0
30	n8	combined	Drop	0	0	0	0
30	n9	combined	Drop	0	0	0	0
30	p1	combined	Drop	36	38	0	0
30	p2	combined	Drop	2	3	0	0
30	p3	combined	Drop	4	4	0	0
30	p4	combined	Drop	1	1	0	0
31	c1	combined	Drop	0	0	0	0
31	c2	combined	Drop	0	0	0	0
31	c3	combined	Drop	0	0	0	0
31	c4	combined	Drop	0	0	0	0
31	c5	combined	Drop	0	0	0	0
31	c6	combined	Drop	0	0	0	0
31	c7	combined	Drop	0	0	0	0
31	c8	combined	Drop	0	0	0	0
31	c9	combined	Drop	0	0	0	0
31	c10	combined	Drop	0	0	0	0
31	c11	combined	Drop	0	0	0	0
31	c12	combined	Drop	0	0	0	0
31	c13	combined	Drop	0	0	0	0
31	c14	combined	Drop	0	0	0	0
31	c15	combined	Drop	0	0	0	0
31	c16	combined	Drop	0	0	0	0
31	c17	combined	Drop	0	0	0	0
31	c18	combined	Drop	0	0	0	0
31	n1	combined	Drop	0	0	0	0
31	n2	combined	Drop	0	0	0	0
31	n3	combined	Drop	0	0	0	0
31	n4	combined	Drop	0	0	0	0
31	n5	combined	Drop	0	0	0	0
31	n6	combined	Drop	0	0	0	0
31	n7	combined	Drop	0	0	0	0
31	n8	combined	Drop	0	0	0	0
31	n9	combined	Drop	0	0	0	0
31	p1	combined	Drop	7	7	0	0
31	p2	combined	Drop	0	0	0	0
31	p3	combined	Drop	0	0	0	0
31	p4	combined	Drop	0	0	0	0
32	c1	combined	Drop	0	0	0	0
32	c2	combined	Drop	0	0	0	0
32	c3	combined	Drop	0	0	0	0
32	c4	combined	Drop	0	0	0	0
32	c5	combined	Drop	0	0	0	0
32	c6	combined	Drop	0	0	0	0
32	c7	combined	Drop	0	0	0	0
32	c8	combined	Drop	0	0	0	0
32	c9	combined	Drop	0	0	0	0
32	c10	combined	Drop	0	0	0	0
32	c11	combined	Drop	0	0	0	0
32	c12	combined	Drop	0	0	0	0
32	c13	combined	Drop	0	0	0	0
32	c14	combined	Drop	0	0	0	0
32	c15	combined	Drop	0	0	0	0
32	c16	combined	Drop	0	0	0	0
32	c17	combined	Drop	0	0	0	0
32	c18	combined	Drop	0	0	0	0
32	n1	combined	Drop	0	0	0	0
32	n2	combined	Drop	0	0	0	0
32	n3	combined	Drop	0	0	0	0
32	n4	combined	Drop	0	0	0	0
32	n5	combined	Drop	0	0	0	0
32	n6	combined	Drop	0	0	0	0
32	n7	combined	Drop	0	0	0	0
32	n8	combined	Drop	0	0	0	0
32	n9	combined	Drop	0	0	0	0
32	p1	combined	Drop	1	1	0	0
32	p2	combined	Drop	0	0	0	0
32	p3	combined	Drop	0	0	0	0
32	p4	combined	Drop	0	0	0	0
33	c1	combined	Drop	0	0	0	0
33	c2	combined	Drop	0	0	0	0
33	c3	combined	Drop	0	0	0	0
33	c4	combined	Drop	0	0	0	0
33	c5	combined	Drop	0	0	0	0
33	c6	combined	Drop	0	0	0	0
33	c7	combined	Drop	0	0	0	0
33	c8	combined	Drop	0	0	0	0
33	c9	combined	Drop	0	0	0	0
33	c10	combined	Drop	0	0	0	0
33	c11	combined	Drop	0	0	0	0
33	c12	combined	Drop	0	0	0	0
33	c13	combined	Drop	0	0	0	0
33	c14	combined	Drop	0	0	0	0
33	c15	combined	Drop	0	0	0	0
33	c16	combined	Drop	0	0	0	0
33	c17	combined	Drop	0	0	0	0
